step;k0;k1;saved;saved_%;flagged;flagged_%
k=1.0→1.5;1,0;1,5;584;6,3;499;5,4
k=1.5→2.0;1,5;2,0;250;2,7;249;2,7
k=2.0→2.5;2,0;2,5;122;1,3;127;1,4
k=2.5→3.0;2,5;3,0;72;0,8;55;0,6
k=3.0→3.5;3,0;3,5;19;0,2;36;0,4
k=3.5→4.0;3,5;4,0;15;0,2;21;0,2
