Timestamp;trajectory_id;j1_v;j2_v;j3_v;j4_v;j5_v;j6_v;j1_a;j2_a;j3_a;j4_a;j5_a;j6_a;j1_t;j2_t;j3_t;j4_t;j5_t;j6_t
67,5353;1;0,04754;-0,02377;0,03417;0,00427;-0,01531;0,00036;1,57995;-0,0072;-2,52368;-0,00055;-0,60989;0,00009;18,04161;16,61459;41,67912;-8,03349;-1,34298;-1,74254
67,5481;1;0,04992;-0,02436;0,03916;0,00463;-0,01281;0,00427;1,58086;-0,00776;-2,52293;-0,00056;-0,61013;0,00009;18,04161;16,61459;41,67912;-8,03349;-1,34298;-1,74254
67,5552;1;0,04992;-0,02436;0,03916;0,00463;-0,01281;0,00427;1,58183;-0,00831;-2,52205;-0,00055;-0,61036;0,00009;16,61459;10,90651;38,09429;-8,16306;-1,46507;-1,33188
67,5631;1;0,05229;-0,02407;0,04521;0,00285;-0,01495;0,00427;1,58183;-0,00831;-2,52205;-0,00055;-0,61036;0,00009;16,61459;10,90651;38,09429;-8,16306;-1,46507;-1,33188
67,5701;1;0,05229;-0,02407;0,04521;0,00285;-0,01495;0,00427;1,58183;-0,00831;-2,52205;-0,00055;-0,61036;0,00009;16,61459;10,90651;38,09429;-8,16306;-1,46507;-1,33188
67,5772;1;0,05675;-0,02852;0,04556;0,00178;-0,01602;0,00534;1,58283;-0,0089;-2,52108;-0,00056;-0,61059;0,00009;14,2702;16,10494;39,30363;-7,16967;-1,92013;-1,1543
67,5851;1;0,05675;-0,02852;0,04556;0,00178;-0,01602;0,00534;1,58283;-0,0089;-2,52108;-0,00056;-0,61059;0,00009;14,2702;16,10494;39,30363;-7,16967;-1,92013;-1,1543
67,6107;1;0,05675;-0,02852;0,04556;0,00178;-0,01602;0,00534;1,58283;-0,0089;-2,52108;-0,00056;-0,61059;0,00009;20,386;12,33353;41,50636;-6,99691;-2,04222;-0,81023
67,6192;1;0,0618;-0,03239;0,04806;0,00534;-0,01602;0,00107;1,58507;-0,01015;-2,51906;-0,00055;-0,61107;0,00008;20,386;15,18757;40,98807;-8,33582;-1,98672;-1,1543
67,6334;1;0,0618;-0,03239;0,04806;0,00534;-0,01602;0,00107;1,58507;-0,01015;-2,51906;-0,00055;-0,61107;0,00008;15,18757;11,92581;41,85189;-8,50859;-2,15321;-0,81023
