run_date;run_time;run_subdir;folder_joint_id;folder_seq_l;folder_i_att;folder_t_att;folder_h_size;folder_ovlap;folder_schd;folder_lr;run_dir;joint_id;input_att;temporal_att;hidden_size;seq_len;overlap;global_step;epoch;custom_score;MSE;std;eval_loss;residuals;loss;csv_path
2026-05-26;23-56-44;1...seq_l=128...i_att=False...t_att=True...h_size=48...ovlap=0.25...schd=cosine...lr=0.01;1;128;False;True;48;0,25;cosine;0,01;output;1;False;True;48;128;0,25;1456;34;0,0105167221045121;0,0053724348545074;0,0017147624166682;0,0053720824335786;0.00023591625;0,0053720824335786;multirun\2026-05-26\23-56-44\1...seq_l=128...i_att=False...t_att=True...h_size=48...ovlap=0.25...schd=cosine...lr=0.01\output\best_model_results.csv
2026-05-27;00-01-35;1...seq_l=128...i_att=False...t_att=True...h_size=48...ovlap=0.5...schd=cosine...lr=0.01;1;128;False;True;48;0,5;cosine;0,01;output;1;False;True;48;128;0,5;1508;25;0,0107729062438011;0,0054705701768398;0,0017674453556537;0,0055247068521566;-0.00087561936;0,0055247068521566;multirun\2026-05-27\00-01-35\1...seq_l=128...i_att=False...t_att=True...h_size=48...ovlap=0.5...schd=cosine...lr=0.01\output\best_model_results.csv
2026-05-26;20-19-14;1...seq_l=128...i_att=False...t_att=True...h_size=48...ovlap=0.0...schd=cosine...lr=0.01;1;128;False;True;48;0,0;cosine;0,01;output;1;False;True;48;128;0,0;1472;43;0,0108266925672069;0,0052626417018473;0,0018546836217865;0,0052622386978732;7.058586e-05;0,0052622386978732;multirun\2026-05-26\20-19-14\1...seq_l=128...i_att=False...t_att=True...h_size=48...ovlap=0.0...schd=cosine...lr=0.01\output\best_model_results.csv
2026-05-27;00-16-50;3...seq_l=128...i_att=False...t_att=True...h_size=48...ovlap=0.25...schd=cosine...lr=0.01;3;128;False;True;48;0,25;cosine;0,01;output;3;False;True;48;128;0,25;1480;35;0,0112288070376962;0,0058460249565541;0,001794260693714;0,0058429917235943;-0.0005220488;0,0058429917235943;multirun\2026-05-27\00-16-50\3...seq_l=128...i_att=False...t_att=True...h_size=48...ovlap=0.25...schd=cosine...lr=0.01\output\best_model_results.csv
2026-05-27;00-21-27;3...seq_l=128...i_att=False...t_att=True...h_size=48...ovlap=0.5...schd=cosine...lr=0.01;3;128;False;True;48;0,5;cosine;0,01;output;3;False;True;48;128;0,5;1468;25;0,0119085719343274;0,0060163545422255;0,0019640724640339;0,0059796195128001;-7.9088e-05;0,0059796195128001;multirun\2026-05-27\00-21-27\3...seq_l=128...i_att=False...t_att=True...h_size=48...ovlap=0.5...schd=cosine...lr=0.01\output\best_model_results.csv
2026-05-26;20-19-51;3...seq_l=128...i_att=False...t_att=True...h_size=48...ovlap=0.0...schd=cosine...lr=0.01;3;128;False;True;48;0,0;cosine;0,01;output;3;False;True;48;128;0,0;1452;42;0,0135068374220281;0,0057635018602013;0,0025811118539422;0,0057558804336521;-3.4979472e-05;0,0057558804336521;multirun\2026-05-26\20-19-51\3...seq_l=128...i_att=False...t_att=True...h_size=48...ovlap=0.0...schd=cosine...lr=0.01\output\best_model_results.csv
2026-05-27;00-23-39;4...seq_l=128...i_att=False...t_att=True...h_size=48...ovlap=0.05...schd=cosine...lr=0.01;4;128;False;True;48;0,05;cosine;0,01;output;4;False;True;48;128;0,05;1388;38;0,0179007679689675;0,0064548649825155;0,0038153009954839;0,0064950319007039;-0.00056878186;0,0064950319007039;multirun\2026-05-27\00-23-39\4...seq_l=128...i_att=False...t_att=True...h_size=48...ovlap=0.05...schd=cosine...lr=0.01\output\best_model_results.csv
2026-05-27;00-28-12;4...seq_l=128...i_att=False...t_att=True...h_size=48...ovlap=0.125...schd=cosine...lr=0.01;4;128;False;True;48;0,125;cosine;0,01;output;4;False;True;48;128;0,125;1304;35;0,0179371489211916;0,0067951856181025;0,0037139877676963;0,006829861504957;-0.0017501741;0,006829861504957;multirun\2026-05-27\00-28-12\4...seq_l=128...i_att=False...t_att=True...h_size=48...ovlap=0.125...schd=cosine...lr=0.01\output\best_model_results.csv
2026-05-26;20-19-51;4...seq_l=128...i_att=False...t_att=True...h_size=48...ovlap=0.0...schd=cosine...lr=0.01;4;128;False;True;48;0,0;cosine;0,01;output;4;False;True;48;128;0,0;1464;42;0,0210083285346627;0,0078416634351015;0,0043888883665204;0,0078484577954643;-0.0002891181;0,0078484577954643;multirun\2026-05-26\20-19-51\4...seq_l=128...i_att=False...t_att=True...h_size=48...ovlap=0.0...schd=cosine...lr=0.01\output\best_model_results.csv
2026-05-27;10-31-28;4...seq_l=128...i_att=False...t_att=True...h_size=48...ovlap=0.07...schd=cosine...lr=0.01;4;128;False;True;48;0,07;cosine;0,01;output;4;False;True;48;128;0,07;1508;41;0,0220529958605766;0,0081046260893344;0,004649456590414;0,008075382746756;-0.00040096577;0,008075382746756;multirun\2026-05-27\10-31-28\4...seq_l=128...i_att=False...t_att=True...h_size=48...ovlap=0.07...schd=cosine...lr=0.01\output\best_model_results.csv
